,mukey,om,cec,ph
645,399802,1.0,21.0,7.0
646,403236,3.0,22.0,6.0
647,403266,0.0,17.0,7.0
648,403266,0.0,12.0,7.0
649,1596039,3.0,24.0,6.0
650,403268,0.0,18.0,6.0
651,399781,0.0,17.0,7.0
652,399803,0.0,17.0,8.0
653,3182568,6.0,30.0,7.0
654,183025,1.0,28.0,6.0
655,403236,0.0,18.0,6.0
656,1596037,0.0,18.0,7.0
657,403240,0.0,6.0,6.0
658,403266,0.0,31.0,7.0
659,399779,1.0,19.0,7.0
660,244814,4.0,25.0,6.0
661,403268,0.0,20.0,6.0
662,399779,0.0,15.0,8.0
663,399781,2.0,23.0,6.0
664,403232,1.0,24.0,7.0
665,1595766,1.0,19.0,7.0
666,1596035,4.0,19.0,7.0
667,399778,3.0,20.0,7.0
668,396157,7.0,31.0,7.0
669,403234,0.0,16.0,8.0
670,1596039,0.0,12.0,7.0
671,403268,0.0,18.0,6.0
672,403266,0.0,12.0,6.0
673,399781,2.0,17.0,8.0
674,2669024,1.0,18.0,8.0
675,403268,2.0,25.0,6.0
676,396153,1.0,24.0,8.0
677,183054,0.0,18.0,7.0
678,2669024,1.0,18.0,8.0
679,3182557,0.0,18.0,8.0
680,403268,0.0,20.0,6.0
681,399778,0.0,17.0,7.0
682,2668945,2.0,27.0,6.0
683,403268,2.0,25.0,6.0
684,208703,1.0,24.0,7.0
685,1595801,1.0,24.0,7.0
686,396132,0.0,17.0,7.0
687,399776,0.0,17.0,7.0
688,399779,2.0,20.0,6.0
689,2669024,1.0,16.0,8.0
690,396161,2.0,23.0,7.0
691,403266,2.0,25.0,6.0
692,399802,2.0,23.0,6.0
693,403266,0.0,35.0,6.0
694,403266,4.0,20.0,6.0
695,396157,2.0,30.0,7.0
696,399802,4.0,20.0,7.0
697,403236,3.0,21.0,7.0
698,399778,2.0,17.0,8.0
699,403212,0.0,3.0,6.0
700,2668945,3.0,19.0,6.0
701,403232,1.0,11.0,8.0
702,435686,1.0,10.0,8.0
703,396153,9.0,25.0,8.0
704,403232,4.0,21.0,7.0
705,403232,18.0,45.0,6.0
706,403268,1.0,20.0,6.0
707,2669022,0.0,14.0,8.0
708,399778,0.0,17.0,7.0
709,403266,0.0,12.0,7.0
710,399803,2.0,20.0,6.0
711,399776,2.0,20.0,6.0
712,1596000,0.0,18.0,6.0
713,2669024,2.0,15.0,8.0
714,403232,4.0,21.0,7.0
715,403266,4.0,20.0,6.0
716,403268,0.0,18.0,6.0
717,399778,0.0,17.0,7.0
718,399776,0.0,17.0,7.0
719,3182557,0.0,20.0,8.0
720,1150810,2.0,20.0,7.0
721,1595801,2.0,16.0,7.0
722,399803,2.0,17.0,8.0
723,1596000,3.0,21.0,6.0
